Sl. No.,Name of the Road,Specific location,Date,Frequency,latitude,longitude
122.0,Rafi Marg,Sunheri Bagh towards Rail Bhawan,['31.08.2021'],1,28.6219572,77.2132402
123.0,Raisina Road,Both carriageway,['02.09.2021'],1,28.6172985,77.2129521
124.0,Raisina Road,Opposite Youth Congress Office,['02.09.2021'],1,28.6172985,77.2129521
125.0,Raisina Road,Roundabout Rail Bhawan,['19.07.2021'],1,28.6172985,77.2129521
126.0,Rajpath Road,Near India Gate,['11.09.2021'],1,28.6129332,77.2294928
127.0,Ram Nath Vij Marg,Near Tower,['11.09.2021'],1,28.6281165,77.1760868
128.0,Rani Jhansi Road,Near Burfkhana Chowk,"['01.09.2021', '11.09.2021']",2,28.6569503,77.2038352
129.0,Ring Road,CNG pump R.K. Puram,['27.07.2021'],1,28.6368454,77.1302053
130.0,Ring Road,IP flyover towards  Sarai Kale Khan / near Petrol Pump on the carriageway towards Ashram,"['09.07.2021', '19.07.2021']",2,28.6368454,77.1302053
131.0,Ring Road,Mayapuri Flyover,['08.08.2021'],1,28.6368454,77.1302053
132.0,Ring Road,Mayapuri Metro Station,"['21.08.2021', '11.09.2021']",2,28.6368454,77.1302053
133.0,Ring Road,Moolchand Underpass,"['31.08.2021', '11.09.2021']",2,28.6368454,77.1302053
134.0,Ring Road,Near AIIMS,['31.08.2021'],1,28.6368454,77.1302053
135.0,Ring Road,Near Hanuman Mandir / Setu,"['14.07.2021', '01.08.2021', '21.08.2021', '02.09.2021', '11.09.2021']",5,28.6368454,77.1302053
136.0,Ring Road,Near Hyatt Hotel,"['13.07.2021', '21.08.2021']",2,28.5701755,77.1857192
137.0,Ring Road,near Kela Ghat,['14.07.2021'],1,28.6368454,77.1302053
138.0,Ring Road,Near Lajpat Nagar Flyover,['01.09.2021'],1,28.6368454,77.1302053
139.0,Ring Road,Near Mayapuri Chowk,['01.09.2021'],1,28.6368454,77.1302053
140.0,Ring Road,Near Nizamuddin Khatta,['31.08.2021'],1,28.6368454,77.1302053
141.0,Ring Road,Near P.S. Civil Lines,['30.07.2021'],1,28.6368454,77.1302053
142.0,Ring Road,Near Rajdhani College to ESI Hospital,['01.09.2021'],1,28.6368454,77.1302053
143.0,Ring Road,Near Redlight towards Bhairon Mandir,['11.09.2021'],1,28.6086166,77.1403328
